"Artist and Title","Days","Pk","(x?)","Total","Today"
"Nirvana - Smells Like Teen Spirit","365","43","","1,820,458","2,806"
"Billie Eilish - Happier Than Ever","222","4","","1,816,865","4"
"Dave - Location","291","59","","1,814,339","0"
"Billie Eilish - Therefore I Am","211","1","(x17)","1,807,030","0"
"Doechii - Anxiety","161","1","(x25)","1,806,221","0"
"Taylor Swift - Look What You Made Me Do","152","1","(x18)","1,797,857","0"
"Beyoncé - BREAK MY SOUL","183","2","(x24)","1,795,646","0"
"Joel Corry, RAYE & David Guetta - BED","233","9","","1,794,865","0"
"Doja Cat - Say So","212","9","","1,792,302","0"
"Mark Ronson - Nothing Breaks Like a Heart","223","3","(x1)","1,784,177","0"
"Tyla - Water","246","5","","1,780,436","0"
"LINKIN PARK - In the End","465","14","","1,778,490","2,226"
"Ed Sheeran - South of the Border","266","6","","1,769,307","0"
"Avicii - SOS","173","3","(x14)","1,768,553","0"
"Peggy Gou - (It Goes Like) Nanana","187","2","(x5)","1,766,291","0"
"Jimin - Who","570","29","","1,763,624","1,013"
"Queen - Bohemian Rhapsody","176","31","","1,762,553","517"
"Rita Ora - Anywhere","266","16","","1,761,151","0"
"Future - Life Is Good","178","2","(x3)","1,756,940","0"
"Антон Токарев - Седьмой лепесток","350","71","","1,754,499","272"
"Calvin Harris & Ellie Goulding - Miracle","229","6","","1,753,075","0"
"The Kid LAROI - WITHOUT YOU","205","5","","1,752,526","0"
"Elley Duhé - Middle of the Night","325","14","","1,752,207","0"
"The Weeknd - Take My Breath","216","2","(x3)","1,742,295","0"
"A$AP Rocky - Praise the Lord","241","12","","1,740,147","0"
"Miyagi & Andy Panda - Там ревели горы","192","115","","1,739,355","142"
"Billie Eilish - LUNCH","200","1","(x14)","1,737,812","0"
"Luciano - Beautiful Girl","390","22","","1,735,550","0"
"Damso - Θ. Macarena","220","59","","1,734,899","364"
"Stormzy - Own It","310","18","","1,723,992","0"
"Justin Bieber - Intentions","171","5","","1,723,082","0"
"Eminem - Houdini","207","2","(x6)","1,719,615","0"
"Jakone & Kiliana - Асфальт","665","62","","1,713,699","1,876"
"Ofenbach & Quarterhead - Head Shoulders Knees & Toes","331","27","","1,709,675","0"
"Jack Harlow - Lovin On Me","195","3","(x12)","1,705,597","0"
"Master KG - Jerusalema","312","19","","1,700,945","0"
"Ariana Grande - break up with your girlfriend, i'm bored","143","1","(x17)","1,698,885","0"
"Баста - Сансара","268","116","","1,698,244","0"
