"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Selena Gomez - Me & The Rhythm","9","","74","","109,496","740,949"
"DVBBS - LA LA LAND","6","","57","","150,548","740,614"
"menace Santana - Quand le soleil se levera à l'ouest !","2","","138","","429,840","740,590"
"Mister V - Demain","3","","41","","427,637","740,572"
"Vald - ROCHE NOIRE","1","","63","","740,494","740,494"
"Drake - Blem","4","","92","","241,064","740,405"
"SCH - Cœur de môme","1","","52","","739,699","739,699"
"Niska - Ochoa","9","","54","","112,596","738,656"
"James Bay - Need The Sun To Break","22","","111","","52,735","738,218"
"Werenoi - Clair de Lune","1","","83","","738,209","738,209"
"London Grammar - Hey Now","22","","48","","43,421","738,154"
"Juicy P - Plus vite que les balles","2","","75","","415,556","738,054"
"Ariana Grande - bad idea","2","","68","","469,827","738,035"
"RK - Menotté","2","","111","","391,256","737,886"
"Gazo - SEVICE","1","","85","","737,864","737,864"
"Roméo Elvis - Drôle de question","4","","129","","228,873","736,429"
"SDM - #Malentouré","2","","148","","381,508","734,827"
"Benab - La night","2","","78","","449,317","734,625"
"Timal - Je sais","3","","73","","335,297","734,259"
"Livaï - Nous deux c'est mieux <3","2","","140","","403,591","734,216"
"Koba LaD - Beldia","2","","114","","439,001","734,035"
"Jul - Si tu savais","2","","76","","469,849","733,856"
"Nej - Ma Raison","2","","160","","383,142","733,295"
"Billie Eilish - Lo Vas A Olvidar","2","","73","","448,178","733,199"
"James Hersey - Miss You","8","","136","","112,592","732,697"
"La Fouine - Insta","10","","133","","80,807","732,685"
"Landy - Viral","2","","157","","374,787","732,682"
"Two Door Cinema Club - Bad Decisions","7","","115","","119,051","732,352"
"Kendrick Lamar - ELEMENT.","3","","40","","375,369","731,256"
"Duke Dumont - I Got U","14","","29","","75,126","730,823"
"Niall Horan - This Town","7","","102","","134,134","729,376"
"S-Crew - Ouais Boy","1","","56","","729,239","729,239"
"SIYYU - Stop Us","8","","180","","107,315","729,222"
"PLK - Bunkoeur","2","","103","","436,295","728,665"
"Dadju - Picsou","2","","84","","439,410","727,889"
"Alonzo - La vaillance","3","","48","","332,503","726,940"
"Georgio - Concept flou","2","","140","","372,925","726,533"
"Timal - Story","2","","79","","457,191","726,516"
"Soso Maness - Mistral","2","","97","","436,655","726,385"
