"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Eminem - Like Home","1","","87","","297,602","297,602"
"Benab - El Mero Mero","1","","174","","297,469","297,469"
"Columbine - En vain","1","","154","","297,420","297,420"
"Rihanna - Desperado","4","","122","","89,305","297,372"
"Zkr - Balafre","1","","197","","297,122","297,122"
"Osirus Jack - Lampadaire, Pt. 2","1","","168","","297,026","297,026"
"RK - Demain c'est loin","1","","164","","296,927","296,927"
"DA Uzi - Hmmm (Laisse tomber)","1","","178","","296,888","296,888"
"MC Solaar - Sonotone","2","","170","","158,730","296,832"
"Benab - P2","1","","160","","296,612","296,612"
"Lefa - T'y arrivais pas","1","","178","","296,598","296,598"
"Kanoé - Baw Flex (Freestyle SAVIES2)","1","","194","","296,547","296,547"
"Eva - Promenade des Anglais","1","","192","","296,383","296,383"
"Naps - Tokyo","1","","192","","296,267","296,267"
"1PLIKÉ140 - BARRETTE DE 50","1","","181","","296,157","296,157"
"Lil Uzi Vert - That Way - Bonus Track","1","","187","","296,136","296,136"
"Central Cee - Eurovision","1","","169","","296,082","296,082"
"Jul - Dans sa bulle","1","","128","","295,960","295,960"
"S-Crew - Démarre","3","","83","","140,980","295,927"
"RK - Mac 11","1","","172","","295,834","295,834"
"Ella Henderson - Ghost","9","","85","","42,494","295,610"
"Jul - Le combat","1","","192","","295,535","295,535"
"Brulux - Adriano","1","","176","","295,476","295,476"
"Naps - J'dis ca j'dis rien","1","","156","","295,469","295,469"
"BRVMSOO - La débrouille","1","","132","","295,310","295,310"
"Koba LaD - Chercher l'or","1","","152","","295,209","295,209"
"GLK - Maudit","1","","189","","295,182","295,182"
"Green Montana - SUPER HEROS","1","","171","","295,022","295,022"
"Jul - Je lève la moto","2","","181","","149,649","294,806"
"Major Lazer - Watch Out For This [Bumaye]","13","","154","","38,129","294,769"
"Pop Smoke - Manslaughter","1","","178","","294,754","294,754"
"Djadja & Dinaz - Quitter les cours","1","","180","","294,728","294,728"
"XXXTENTACION - going down!","1","","102","","294,602","294,602"
"Naza - KSM","1","","174","","294,599","294,599"
"PLK - Olcho Gvng","1","","179","","294,558","294,558"
"Migos - Straightenin","1","","161","","294,487","294,487"
"Green Montana - DIAMANT","1","","173","","294,425","294,425"
"The Weeknd - Reminder","2","","101","","174,795","294,264"
"Camille Lellouche - N'insiste pas","1","","164","","294,219","294,219"
"Landy - Un gaou a Saint-Denis","1","","136","","294,207","294,207"
"France Gall - Résiste - Remasterisé","1","","85","","294,115","294,115"
"Christophe - Aline","1","","150","","294,082","294,082"
"MHD - Amina","3","","80","","124,949","294,059"
"Bigflo & Oli - Florian","1","","141","","293,976","293,976"
"Kid Cudi - Another Day","1","","184","","293,955","293,955"
"Naza - Liquide","1","","158","","293,822","293,822"
"Naps - C'est ça les z'hommes","1","","187","","293,359","293,359"
"Lefa - Elle aime","1","","190","","293,181","293,181"
"Hornet La Frappe - Sale idée","1","","91","","292,946","292,946"
"DJ Khaled - For Free","4","","163","","76,951","292,859"
"Niro - Vamos","2","","115","","176,228","292,845"
"Jul - Wesh fils de","3","","108","","125,860","292,843"
"ICO - Siri 3","1","","170","","292,613","292,613"
"Sneazzy - RÈGLES","1","","193","","292,554","292,554"
"Sofiane - Training Day","1","","192","","292,452","292,452"
"Le classico organisé - Ça vire au drame","1","","187","","292,421","292,421"
"Naps - Dans la villa","1","","188","","292,263","292,263"
"Kaaris - Pas idée","1","","82","","292,106","292,106"
"Dinos - Quand les cailleras prient","1","","197","","292,060","292,060"
"Tayc - Better","1","","199","","292,008","292,008"
"Mister You - Flashback","1","","176","","291,953","291,953"
"Dosseh - Place de l'Etoile","1","","192","","291,778","291,778"
"Wejdene - La Meilleure","1","","173","","291,721","291,721"
"Eddy de Pretto - Freaks","1","","197","","291,603","291,603"
"Selena Gomez - Feel Me","1","","172","","291,527","291,527"
"Post Malone - Die For Me","1","","167","","291,396","291,396"
"The Weeknd - Repeat After Me (Interlude)","1","","159","","291,310","291,310"
"BANKS - Beggin For Thread","9","","110","","39,877","291,270"
"Naza - T'as pas idée","1","","162","","291,146","291,146"
"1PLIKÉ140 - NO HOOK","1","","187","","291,143","291,143"
"6ix9ine - WAKA","1","","132","","291,038","291,038"
"PRIME - Wooptidoop","1","","175","","291,035","291,035"
"Kpri - Maybach Phantom","1","","186","","291,008","291,008"
"Olly Alexander (Years & Years) - Desire","4","","181","","75,638","290,944"
"Columbine - Temps électrique","2","","130","","155,967","290,922"
"Jul - Nia","1","","194","","290,908","290,908"
"Naza - Lambo","1","","161","","290,770","290,770"
"Travis Scott - SKELETONS","1","","104","","290,701","290,701"
"Soso Maness - Madame Maness","1","","193","","290,460","290,460"
"Panic! At The Disco - House of Memories","1","","191","","290,408","290,408"
"Dinos - N’Tiekar","1","","198","","290,371","290,371"
"Kekra - Lights Out","1","","191","","290,361","290,361"
"Yanns - Soleil et nanas","1","","198","","290,292","290,292"
"Aya Nakamura - Oumou Sangaré","2","","144","","158,549","290,242"
"Djadja & Dinaz - Rien n'a changé","3","","77","","123,679","290,236"
"K/DA - MORE","1","","162","","290,218","290,218"
"Bigflo & Oli - Maman","1","","145","","290,215","290,215"
"Jul - Africa Twin","1","","176","","289,934","289,934"
"Naps - Ambiance vandale","1","","163","","289,834","289,834"
"RK - Prototype","1","","182","","289,678","289,678"
"1PLIKÉ140 - ENFERMÉ","1","","191","","289,509","289,509"
"Bebe Rexha - (Not) The One","2","","182","","155,441","289,495"
"Columbine - Topless","1","","156","","289,445","289,445"
"Caesar - Viens on squatte man","1","","172","","289,345","289,345"
"Niro - J'dois l'oublier","1","","192","","289,334","289,334"
"Landy - Déter","1","","145","","289,173","289,173"
"DA Uzi - Dernier samouraï","1","","136","","289,172","289,172"
"Kaza - HRTBRK #5","1","","162","","289,063","289,063"
"Brulux - Sans pitax","1","","185","","289,036","289,036"
"Maroon 5 - Moves Like Jagger - Studio Recording From ""The Voice"" Performance","13","","135","","35,224","289,033"
"4Keus - M'en aller","1","","193","","289,019","289,019"
"Sneazzy - SCHÉMA","1","","196","","288,865","288,865"
"GIMS - Appelez la police","1","","111","","288,862","288,862"
"Népal - Rien d'spécial","1","","174","","288,861","288,861"
"Vladimir Cauchemar - Aulos Reloaded","1","","182","","288,850","288,850"
"Kanye West - I Thought About Killing You","1","","88","","288,776","288,776"
"Kanye West - Keep My Spirit Alive","1","","169","","288,761","288,761"
"Franglish - Bonnie & Clyde","1","","183","","288,567","288,567"
"Niro - Cantona","1","","174","","288,556","288,556"
"Kalash Criminel - Vrai","1","","149","","288,521","288,521"
"Jok'air - Pour mes supporters","1","","160","","288,491","288,491"
"Chily - Chily Sauce","1","","197","","288,427","288,427"
"Chily - Intro","1","","199","","288,339","288,339"
"Tsew The Kid - Maladroit","1","","165","","288,289","288,289"
"La Fouine - Roue de secours","1","","188","","288,273","288,273"
"Columbine - Indochine","1","","157","","288,264","288,264"
"Soso Maness - Interlude","1","","184","","288,183","288,183"
"Niska - Jsuis dans l’truc - Freestyle","4","","134","","82,332","288,120"
"Caballero - Arriba","1","","152","","288,028","288,028"
"Lefa - Nouveau maillot","1","","188","","287,968","287,968"
"Caballero & JeanJass - Un Cadeau","1","","149","","287,939","287,939"
"Naza - Bibi","1","","198","","287,803","287,803"
"Kaaris - Rosé","1","","200","","287,799","287,799"
"Ici c'est Paris - Sur Paname","1","","191","","287,724","287,724"
"Hornet La Frappe - Hanoute","1","","144","","287,635","287,635"
"Brulux - Ça recommence","1","","187","","287,549","287,549"
"13 Block - Si j'avais","1","","165","","287,193","287,193"
"Bolémvn - Maxi boule","1","","160","","287,064","287,064"
"Hornet La Frappe - Main de fer","1","","171","","286,946","286,946"
"Hatik - sanstitre.","1","","188","","286,934","286,934"
"Ateyaba - Rock With You","1","","145","","286,727","286,727"
"Aya Nakamura - Fuego","2","","143","","159,780","286,725"
"Migos - Avalanche","1","","171","","286,629","286,629"
"13 Block - Oiseaux","1","","189","","286,589","286,589"
"Népal - Vibe","1","","180","","286,271","286,271"
"Landy - M'évader","1","","148","","286,173","286,173"
"Népal - Lemonade","1","","181","","286,161","286,161"
"Eminem - In Too Deep","1","","191","","286,146","286,146"
"DA Uzi - Mademoiselle","1","","161","","286,143","286,143"
"SDM - Intro","1","","179","","286,103","286,103"
"Caballero & JeanJass - Yellow","1","","152","","286,085","286,085"
"Gradur - Intro","2","","68","","208,564","285,974"
"Billie Eilish - Billie Bossa Nova","1","","158","","285,772","285,772"
"Jul - Bandit","1","","183","","285,696","285,696"
"YL - Ciel","1","","109","","285,376","285,376"
"Jok'air - Jok'Travolta","1","","161","","285,278","285,278"
"Kalash Criminel - Très mauvais","1","","178","","285,204","285,204"
"Selena Gomez - Boyfriend","1","","155","","285,147","285,147"
"BTS - ON (Feat. Sia)","1","","181","","285,125","285,125"
"DA Uzi - Tellement","1","","169","","285,066","285,066"
"Kanye West - Jesus Lord","1","","173","","284,968","284,968"
"Imen Es - D'ennemi à bébé","1","","183","","284,952","284,952"
"Siboy - Au revoir merci","2","","171","","152,167","284,714"
"Drake - F*****g Fans","1","","175","","284,670","284,670"
"Alan Walker - Sweet Dreams","1","","189","","284,628","284,628"
"Djadja & Dinaz - On avance seuls","1","","128","","284,626","284,626"
"Nej - Je t'a(b)ime","1","","198","","284,615","284,615"
"Guy2Bezbar - Beretta","1","","183","","284,583","284,583"
"Dinos - Memento Interlude","1","","189","","284,498","284,498"
"Columbine - La reine du bal","1","","170","","284,446","284,446"
"Vegedream - Touché dans le coeur","1","","178","","284,209","284,209"
"Ariana Grande - make up","1","","167","","284,191","284,191"
"Josman - Larmes de Sel (Intro)","1","","198","","283,962","283,962"
"Jul - Je ne vous oublie pas","1","","118","","283,800","283,800"
"DA Uzi - Moi-même","1","","172","","283,587","283,587"
"Jul - A coup de crick","1","","187","","283,516","283,516"
"Columbine - Chambre 112","1","","171","","283,440","283,440"
"GIMS - La nuit c'est fait pour dormir","1","","117","","283,312","283,312"
"SDM - Rentrer","1","","184","","283,309","283,309"
"twinsmatic - X2","1","","180","","283,243","283,243"
"21 Savage - Glock In My Lap","1","","194","","283,186","283,186"
"Maes - Menotté","1","","186","","283,140","283,140"
"Ed Sheeran - Visiting Hours","1","","155","","283,134","283,134"
"Nekfeu - Jusqu'au bout (Creed)","3","","93","","122,496","283,023"
"Caballero & JeanJass - Forcing","1","","92","","282,988","282,988"
"Brulux - Octobre","1","","194","","282,938","282,938"
"Népal - Là-bas","1","","184","","282,845","282,845"
"Drake - Peak","1","","131","","282,742","282,742"
"Dadju - Tu n'es pas moi","1","","187","","282,716","282,716"
"Bob Sinclar - We Could Be Dancing","1","","151","","282,686","282,686"
"Jul - Qu'est ce que tu me dis ?","1","","159","","282,606","282,606"
"Hamza - Go Back","1","","197","","282,501","282,501"
"Renaud - Toujours debout","3","","85","","119,658","282,271"
"Doja Cat - Get Into It (Yuh)","1","","178","","282,236","282,236"
"Sadek - Scottie Pippen","1","","185","","282,216","282,216"
"GIMS - Tu m'as dit","1","","118","","282,210","282,210"
"Lacrim - A.W.A 2","7","","96","","70,030","282,184"
"Lesram - Rotation","1","","164","","282,024","282,024"
"Bolémvn - DM","1","","191","","281,942","281,942"
"Roméo Elvis - Vinci","1","","146","","281,881","281,881"
"Johnny Hallyday - Laura","1","","103","","281,815","281,815"
"Djadja & Dinaz - Au fond de la classe","1","","188","","281,797","281,797"
"Kygo - Nothing Left","7","","154","","42,944","281,591"
"Burna Boy - For My Hand","1","","198","","281,555","281,555"
"Kaaris - Être deux","1","","87","","281,468","281,468"
"Alvaro Soler - La Libertad","1","","138","","281,397","281,397"
"The Neighbourhood - Softcore","1","","200","","281,333","281,333"
"Soprano - Ils nous connaissent pas","9","","76","","44,546","281,169"
"Kalash Criminel - Tout le monde sait","1","","189","","281,168","281,168"
"Daft Punk - Contact","6","","17","","97,423","281,096"
"Dj Leska - Ghenda","1","","177","","281,092","281,092"
"Landy - Le temps","1","","151","","281,073","281,073"
"Charlie Puth - Light Switch","1","","183","","281,069","281,069"
"Damso - QuedelaVie","3","","104","","118,383","280,912"
"Eminem - Premonition - Intro","1","","196","","280,867","280,867"
"Paul Rosenberg - Paul - Skit","1","","115","","280,740","280,740"
"13 Block - Pente noire","1","","171","","280,627","280,627"
"UZI - Arc-en-ciel","1","","195","","280,550","280,550"
"Gambino La MG - Moulala","1","","173","","280,468","280,468"
"Lil Nas X - ONE OF ME","1","","200","","280,468","280,468"
"SCH - Tempête","1","","172","","280,460","280,460"
"Djadja & Dinaz - Du mal à m'y faire","1","","133","","280,421","280,421"
"Kaaris - Oublier","1","","89","","280,160","280,160"
"Eddy de Pretto - Pause","1","","182","","280,131","280,131"
"Joé Dwèt Filé - Comme avant","1","","168","","280,123","280,123"
"Kanye West - Donda","1","","177","","280,008","280,008"
"YL - Tot ou tard","1","","162","","279,926","279,926"
"Johnny Hallyday - Made in Rock'n'Roll","1","","158","","279,871","279,871"
"Busta Flex - Jay-Z","1","","191","","279,828","279,828"
"MHD - Petit coeur","1","","192","","279,751","279,751"
"Marwa Loud - Sans vous","1","","101","","279,679","279,679"
"Bigflo & Oli - Ferme les yeux","1","","158","","279,615","279,615"
"Roméo Elvis - TPA","1","","178","","279,434","279,434"
"Dinos - Walther PP","1","","198","","279,418","279,418"
"L2B - Amis d'enfance","1","","173","","279,332","279,332"
"Rita Ora - Body on Me","5","","112","","62,693","279,285"
"London Grammar - Rooting For You","2","","117","","161,571","279,171"
"Djadja & Dinaz - On reconnaît","3","","86","","113,067","279,067"
"Fauve - NUITS FAUVES","13","","43","","25,130","278,996"
"Soso Maness - Fucked Up","1","","187","","278,977","278,977"
"Hornet La Frappe - Sale gosse","1","","151","","278,967","278,967"
"MHD - Interlude trap 2","1","","152","","278,854","278,854"
"Tion Wayne - Body (Remix)","1","","168","","278,643","278,643"
"Lefa - Roddy Ricch","1","","168","","278,465","278,465"
"Imen Es - Mon mari","1","","188","","278,342","278,342"
"Jul - C’est chaud","3","","79","","125,756","278,302"
"DMNDS - Seven Nation Army","1","","181","","278,112","278,112"
"Billie Eilish - all the good girls go to hell","1","","172","","278,056","278,056"
"Naza - Bénef","1","","175","","278,028","278,028"
"DA Uzi - Ça tombe bien","1","","178","","277,680","277,680"
"Nekfeu - Point d'interrogation","6","","87","","74,909","277,630"
"Lefa - Sors de ma tête","1","","199","","277,383","277,383"
"Rohff - Fille bien","1","","149","","277,376","277,376"
"Rilès - MYSELF N THE SEA","1","","166","","277,250","277,250"
"Dosseh - Jet privé","1","","129","","277,033","277,033"
"Leto - Double Bang 5","1","","147","","276,937","276,937"
"Jok'air - Radio sexe - Bonus Track","1","","173","","276,747","276,747"
"Moha La Squale - Pankani","1","","96","","276,701","276,701"
"RealestK - WFM","1","","185","","276,640","276,640"
"DA Uzi - Le dehors","1","","179","","276,613","276,613"
"6ix9ine - MALA","1","","140","","276,611","276,611"
"Maluma - Hawái","1","","199","","276,475","276,475"
"Drake - Summer Sixteen","4","","159","","71,832","276,434"
"Sadek - Somnambule","1","","164","","276,392","276,392"
"Maluma - Hawái - Remix","1","","172","","276,380","276,380"
"Tungevaag - Wicked Wonderland","7","","109","","47,733","276,085"
"Josman - Fucked Up 3","1","","130","","276,081","276,081"
"Travis Scott - CAN'T SAY","1","","114","","275,850","275,850"
"Jul - Bruce Lee","1","","186","","275,794","275,794"
"Zikxo - TP","1","","176","","275,644","275,644"
"MMZ - J'monte","1","","87","","275,502","275,502"
"Mister V - Le Tour","1","","181","","275,481","275,481"
"Lady Gaga - Alice","1","","182","","275,297","275,297"
"Soolking - Marbella","1","","177","","275,214","275,214"
"Guy2Bezbar - La Calle 4 (Favelas de Paname)","1","","173","","275,213","275,213"
"GATTÜSO - Cruel","1","","195","","275,200","275,200"
"SCH - Ma kush","1","","87","","275,163","275,163"
"Gringe - Mémo","1","","153","","275,086","275,086"
"Jul - Facilement","1","","122","","275,004","275,004"
"4Keus - Wakztoubi #2","1","","190","","274,911","274,911"
"YL - Zanotti","1","","118","","274,900","274,900"
"Quavo - PASS OUT","1","","152","","274,827","274,827"
"Shay - Amour & désastres","1","","158","","274,776","274,776"
"Niro - Appuyer","1","","167","","274,769","274,769"
"Kodes - 45 AMG","1","","174","","274,721","274,721"
"Sadek - La source","1","","198","","274,583","274,583"
"4Keus - Toi ou moi","1","","173","","274,491","274,491"
"Jok'air - Les yeux sont sur nous","1","","177","","274,465","274,465"
"Sadek - Ariva","1","","166","","274,249","274,249"
"ElGrandeToto - Etranger","1","","195","","274,009","274,009"
"Ninho - Binks to Binks 4","2","","150","","151,068","273,949"
"Sadek - Roulette russe 8 #Smithers","1","","190","","273,923","273,923"
"DA Uzi - Maître Zadourian","1","","176","","273,716","273,716"
"Dadju - Gentleman 2.0 - Intro","1","","111","","273,594","273,594"
"Annie Lennox - I Put A Spell On You (Fifty Shades of Grey)","6","","61","","70,804","273,580"
"Eminem - Untouchable","1","","97","","273,548","273,548"
"4Keus - Focus","1","","174","","273,543","273,543"
"S1mba - Rover","1","","194","","273,449","273,449"
"Gringe - LMP","1","","158","","273,380","273,380"
"Dosseh - Toit du monde","1","","133","","273,362","273,362"
"Gazo - MALAGANGX","1","","199","","273,255","273,255"
"SDM - Love","1","","200","","273,090","273,090"
"Josman - DLVrai","1","","131","","273,087","273,087"
"Damso - Beautiful","3","","117","","112,080","273,048"
"DA Uzi - Vie là","1","","177","","272,682","272,682"
"Shaniz - A contre sens","10","","133","","34,003","272,667"
"PLK - Enfant du hall (Bonus Track)","1","","195","","272,542","272,542"
"DA Uzi - Salute","1","","178","","272,340","272,340"
"LE RISQUE - Aggravage 2","1","","181","","272,286","272,286"
"Lacrim - Poutine","3","","91","","118,633","272,194"
"Rilès - In the Jungle","2","","171","","137,634","271,934"
"Georgio - Miroir","1","","170","","271,843","271,843"
"Jok'air - Gangster & Gentleman","1","","182","","271,673","271,673"
"Alonzo - Y’en a assez","5","","90","","71,944","271,102"
"Sam Smith - Writing's On The Wall","4","","74","","80,445","270,872"
"MHD - Senseless Ting","1","","158","","270,751","270,751"
"Lady Gaga - Free Woman","1","","187","","270,598","270,598"
"Jul - La rue dans le Cayenne","1","","140","","270,546","270,546"
"Outkast - Hey Ya!","1","","88","","270,515","270,515"
"Freddy Gladieux - Vive Les Promeneurs","1","","169","","270,255","270,255"
"Soolking - Vida Loca 2","1","","183","","270,201","270,201"
"Vald - Vlad","1","","133","","270,186","270,186"
"Kodes - Méchant 4","1","","193","","269,896","269,896"
"Shay - Même pas bonne","1","","162","","269,708","269,708"
"Népal - Ennemis, Pt. 2","1","","198","","269,508","269,508"
"Travis Scott - 5% TINT","1","","117","","269,431","269,431"
"Rilès - Pesetas","1","","192","","269,394","269,394"
"MMZ - Valar morghulis","1","","154","","269,323","269,323"
"Lady Gaga - Million Reasons","3","","128","","106,145","269,241"
"JACKBOYS - GATTI","1","","196","","269,150","269,150"
"XXXTENTACION - STARING AT THE SKY","1","","172","","269,062","269,062"
"Ariana Grande - in my head","1","","177","","268,783","268,783"
"Frenetik - Noir sur blanc","1","","192","","268,439","268,439"
"4Keus - Love Money","1","","119","","268,426","268,426"
"Camélia Jordana - Silence","1","","187","","268,406","268,406"
"Ikaz Boi - BAD DAYS","1","","193","","268,383","268,383"
"Kanye West - Wouldn't Leave","1","","100","","268,336","268,336"
"Jul - Like Ya","1","","199","","268,321","268,321"
"Naps - Jet privé","1","","188","","268,279","268,279"
"DA Uzi - Ils l'ont pas","1","","190","","268,270","268,270"
"The Weeknd - Until I Bleed Out","1","","188","","268,048","268,048"
"Hornet La Frappe - Warning","1","","161","","267,997","267,997"
"PNL - Laisse","4","","90","","90,859","267,960"
"StarBoi3 - Dick","1","","179","","267,826","267,826"
"YL - T'es pas la même","1","","123","","267,403","267,403"
"Rohff - Dans le vrai","1","","124","","267,306","267,306"
"Jul - Comme un fou","1","","124","","267,302","267,302"
"joysad - Hiver","1","","187","","267,299","267,299"
"RK - Booska Rêves de gosse (Freestyle)","1","","187","","267,150","267,150"
"Darina Victry - Laisse moi t'aimer","1","","198","","267,077","267,077"
"Dinos - Mack le Bizz Freestyle","1","","183","","266,984","266,984"
"Cris Cab - Englishman In New York","8","","122","","53,849","266,964"
"Jul - Je suis pas solo","1","","174","","266,953","266,953"
"Jnr Slice - Kush Drill","1","","198","","266,648","266,648"
"Post Malone - On The Road","1","","184","","266,637","266,637"
"Leto - Double Bang 6","1","","162","","266,581","266,581"
"Djadja & Dinaz - La base","3","","94","","108,577","266,411"
"Drake - The Remorse","1","","198","","266,404","266,404"
"6ix9ine - PUNANI","1","","191","","266,355","266,355"
"PNL - Le M","4","","91","","90,761","266,328"
"Alonzo - Sur la moto","1","","190","","266,321","266,321"
"GIMS - ABCD - Pilule Rouge","4","","62","","97,432","266,184"
"Koba LaD - M Power","1","","193","","266,154","266,154"
"OBOY - Nuit","1","","196","","266,120","266,120"
"BTS - Blue & Grey","1","","196","","265,925","265,925"
"La Fouine - Sombre mélodie","1","","160","","265,790","265,790"
"Billie Eilish - I Didn't Change My Number","1","","180","","265,768","265,768"
"Playboi Carti - @ MEH","1","","176","","265,759","265,759"
"The Kid LAROI - WITHOUT YOU","1","","182","","265,633","265,633"
"Naps - A / R","1","","190","","265,617","265,617"
"Josman - Sourcils Froncés","1","","136","","265,565","265,565"
"YL - Escort","1","","126","","265,304","265,304"
"Hornet La Frappe - 40 ans","1","","164","","265,118","265,118"
"Koba LaD - Kilos de beuh","1","","194","","264,899","264,899"
"Eva Simons - Bludfire","4","","158","","72,217","264,886"
"Jul - Tu vois je veux dire","1","","178","","264,810","264,810"
"ROSÉ - On The Ground","1","","199","","264,697","264,697"
"Blacko - Le temps est compté","8","","111","","39,085","264,662"
"Naps - Elvira","2","","189","","136,795","264,251"
"Djadja & Dinaz - J'sais plus comment faire","1","","132","","264,200","264,200"
"Moha La Squale - J'me balade","1","","105","","264,074","264,074"
"Ariana Grande - off the table","1","","192","","264,028","264,028"
"Columbine - Le bal des fous","1","","172","","263,988","263,988"
"PLK - Sans suite","1","","175","","263,946","263,946"
"Gradur - La Moula","2","","43","","174,559","263,935"
"DA Uzi - Libanais","1","","194","","263,729","263,729"
"Eminem - Good Guy","1","","120","","263,593","263,593"
"Jul - Toujours la dalle","3","","126","","102,887","263,556"
"Alonzo - ALZ","2","","67","","159,451","263,415"
"OBOY - Rémus","1","","164","","263,323","263,323"
"Drake - Summer Games","1","","147","","263,131","263,131"
"Drake - After Dark","1","","148","","262,831","262,831"
"Jul - Je vais danser","1","","181","","262,499","262,499"
"Soolking - Hayati","1","","193","","262,033","262,033"
"Naza - J'ai pas sommeil","1","","190","","262,012","262,012"
"Django - S/O le Flem","1","","188","","261,918","261,918"
"RedOne - Don't You Need Somebody","3","","99","","119,394","261,909"
"Ariana Grande - MONOPOLY","1","","188","","261,620","261,620"
"Vald - Baby Squirt","1","","138","","261,278","261,278"
"Rohff - #SNTL","1","","165","","261,217","261,217"
"Ed Sheeran - First Times","1","","193","","261,199","261,199"
"Avicii - Broken Arrows","2","","142","","209,038","261,188"
"PNL - Plus Tony que Sosa","4","","101","","83,329","261,061"
"Niro - Loup alpha","1","","122","","261,039","261,039"
"DA Uzi - Yes","1","","198","","260,926","260,926"
"XXXTENTACION - One Minute","1","","183","","260,711","260,711"
"Dioscures - CINÉ CLUB","1","","200","","260,622","260,622"
"RK - C'est comme ça","1","","188","","260,616","260,616"
"Booba - LVMH","6","","60","","65,958","260,511"
"Moha La Squale - 5 Juillet 1962","1","","108","","259,895","259,895"
"Badjer - Overdose","1","","164","","259,829","259,829"
"13 Block - Bombarder","1","","188","","259,809","259,809"
"Aventura - Volví","1","","177","","259,682","259,682"
"Dosseh - La rue c'est rasoir","1","","141","","259,481","259,481"
"Jul - Samantha","1","","126","","259,457","259,457"
"Travis Scott - ASTROTHUNDER","1","","125","","259,314","259,314"
"Kanye West - Violent Crimes","1","","106","","259,067","259,067"
"Travis Scott - NC-17","1","","126","","258,962","258,962"
"SCH - Slow Mo","1","","92","","258,937","258,937"
"Alonzo - Gilera","2","","66","","161,260","258,796"
"Brulux - Julien","1","","172","","258,692","258,692"
"Jul - Mon petit","3","","133","","100,397","258,614"
"Columbine - Vampire","1","","190","","258,411","258,411"
"Shakira - Dare (La La La)","4","","37","","73,060","258,368"
"Kendrick Lamar - BLOOD.","1","","76","","258,216","258,216"
"The xx - Intro","12","","138","","28,489","258,049"
"4Keus - Dans le block","1","","183","","257,716","257,716"
"Jul - On m'a tourné le dos","1","","187","","257,659","257,659"
"L'Allemand - Plus d'amour","1","","200","","257,627","257,627"
"ROSALÍA - Yo x Ti, Tu x Mi","1","","200","","257,578","257,578"
"Naza - Vodka","1","","167","","257,555","257,555"
"Drake - Blue Tint","1","","153","","257,397","257,397"
"Deorro - Bailar","2","","187","","129,906","257,389"
"Kanye West - Stronger","2","","166","","190,765","257,308"
"Charles Aznavour - For Me Formidable","1","","178","","257,257","257,257"
"Soolking - Corbeau","1","","199","","256,803","256,803"
"Naza - Toi va là-bas","1","","200","","256,682","256,682"
"Dj Quick - La recette","1","","196","","256,676","256,676"
"Hornet La Frappe - Secret","1","","171","","256,593","256,593"
"One Direction - End of the Day","3","","73","","109,302","256,364"
"Stromae - Défiler - Bande originale de la capsule No. 5 Mosaert","1","","126","","256,185","256,185"
"Landy - Nouveau jour","1","","177","","255,311","255,311"
"Post Malone - A Thousand Bad Times","1","","198","","255,272","255,272"
"J. Cole - KOD","1","","145","","255,148","255,148"
"4Keus - Je pense","1","","126","","254,921","254,921"
"Ashh - Lolita","2","","193","","130,697","254,811"
"Georgio - Héra","3","","153","","93,685","254,688"
"Billie Eilish - xanny","1","","194","","254,489","254,489"
"XXXTENTACION - Train food","1","","189","","253,712","253,712"
"Johnny Hallyday - Interlude","1","","182","","253,678","253,678"
"Kaaris - RPG","1","","103","","253,107","253,107"
"Caballero & JeanJass - Flash","1","","192","","252,934","252,934"
"James TW - When You Love Someone","3","","164","","89,776","252,820"
"Sneazzy - J'encaisse","1","","168","","252,650","252,650"
"Rohff - #Rohffback","1","","179","","252,650","252,650"
"Josman - Loto","1","","145","","252,641","252,641"
"Soprano - Mon précieux","1","","121","","252,575","252,575"
"Pitbull - Greenlight","3","","143","","90,141","252,477"
"Frenetics - I Feel a Man","1","","155","","252,401","252,401"
"Gradur - Balti","2","","38","","178,378","252,377"
"Rammstein - Deutschland","1","","196","","252,159","252,159"
"Lana Del Rey - Lust for Life","1","","67","","252,149","252,149"
"Djadja & Dinaz - Je zone","1","","142","","252,035","252,035"
"Johnny Hallyday - 4m2","1","","185","","252,033","252,033"
"XXXTENTACION - $$$ - with Matt Ox","1","","128","","251,838","251,838"
"Eminem - Bad Husband","1","","111","","251,552","251,552"
"Cats On Trees - Sirens Call","7","","34","","47,176","251,491"
"Stromae - merci","8","","20","","48,744","251,480"
"Columbine - Rémi","2","","171","","131,593","251,383"
"Drake - Is There More","1","","157","","251,349","251,349"
"Moha La Squale - C'était la ure","1","","120","","251,225","251,225"
"L'Algérino - La Vida","1","","178","","251,120","251,120"
"YL - Comme d'hab","1","","185","","250,966","250,966"
"Caballero & JeanJass - Tout s’arrête","1","","196","","250,534","250,534"
"Columbine - Blabla","1","","200","","250,333","250,333"
"Ryan Gosling - City Of Stars","2","","175","","128,550","250,297"
"XXXTENTACION - Floor 555","1","","129","","250,228","250,228"
"Niro - Do It","2","","76","","161,099","250,168"
"CHVRCHES - Leave A Trace","4","","82","","69,560","250,092"
"Rim'K - Fratello","1","","174","","249,977","249,977"
"Hooss - 600 Francs","1","","174","","249,926","249,926"
"Eminem - Chloraseptic","1","","115","","249,641","249,641"
"Polo & Pan - Canopée","2","","175","","127,704","249,575"
"Sadek - Zepek","1","","185","","249,442","249,442"
