"Pos","Artist and Title","Popularity"
"225","Nekfeu - On Verra","0.14738"
"226","Julien Doré - Coco Câline","0.14709"
"227","Kendji Girac - Les yeux de la mama","0.14704"
"228","The Weeknd - Earned It (From The ""Fifty Shades Of Grey""...","0.14694"
"229","Bad Wolves - Zombie","0.14664"
"230","David Guetta, Bebe Rexha & J Balvin - Say My Name","0.14624"
"231","Naughty Boy - La La La (feat. Sam Smith)","0.14495"
"232","Enrique Iglesias - SÚBEME LA RADIO (feat. Descemer Bueno, Zion & Lennox)","0.14489"
"233","Feder - Lordly (feat. Alex Aiono)","0.14468"
"234","Drake - Hotline Bling","0.14423"
"235","Ed Sheeran - Photograph","0.14401"
"236","Calvin Harris - My Way","0.14391"
"237","Indochine - La vie est belle","0.14345"
"238","Pitbull - Timber (feat. Ke$ha)","0.14306"
"239","Christine and the Queens - Paradis perdus","0.14292"
"240","L'Algérino - Va Bene","0.14283"
"241","Mark Ronson - Nothing Breaks Like a Heart (feat. Miley Cyrus)","0.14259"
"242","Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign)","0.14203"
"243","Bruno Mars - Treasure","0.14132"
"244","David Guetta - 2U (feat. Justin Bieber)","0.14094"
"245","RIDSA - Là c'est die","0.14031"
"246","Maître Gims - Bella","0.13995"
"247","Josef Salvat - Diamonds","0.13985"
"248","Ed Sheeran - Perfect Duet (with Beyoncé)","0.13966"
"249","twenty one pilots - Ride","0.13959"
"250","Imagine Dragons - Radioactive","0.13945"
"251","Luis Fonsi & Daddy Yankee - Despacito (Remix) [feat. Justin Bieber]","0.13790"
"252","James Arthur - Impossible","0.13744"
"253","Zara Larsson - Uncover","0.13648"
"254","ZAYN & Taylor Swift - I Don’t Wanna Live Forever (Fifty Shades Darker)","0.13618"
"255","Deorro - Five Hours","0.13572"
"256","Kendji Girac & Soprano - No Me Mirès Màs","0.13567"
"257","Daft Punk - Get Lucky (feat. Pharrell Williams & Nile R...","0.13546"
"258","Calvin Harris - Summer","0.13533"
"259","The Weeknd - The Hills","0.13482"
"260","Jennifer Lopez - Ain't Your Mama","0.13447"
"261","Queen - Bohemian Rhapsody","0.13367"
"262","Feder - Blind (feat. Emmi) [Radio Edit]","0.13300"
"263","Lily Allen - Somewhere Only We Know","0.13252"
"264","Lady Gaga & Bradley Cooper - I'll Never Love Again (Film Version)","0.13227"
"265","Liam Payne & Rita Ora - For You (Fifty Shades Freed)","0.13225"
"266","Drake - Hold On, We're Going Home (feat. Majid Jordan)","0.13192"
"267","Rihanna - Bitch Better Have My Money","0.13165"
"268","Tom Odell - Another Love","0.13083"
"269","Soprano - Mon Everest (feat. Marina Kaye)","0.13073"
"270","Calvin Harris - Blame (feat. John Newman)","0.13013"
"271","Lost Frequencies - Reality (feat. Janieck Devy) [Radio ...","0.12939"
"272","Daft Punk - Get Lucky (feat. Pharrell Williams)","0.12860"
"273","Josef Salvat - Open Season (Une Autre Saison)","0.12827"
"274","Tove Lo - Stay High (feat. Hippie Sabotage) [Habits Rem...","0.12814"
"275","Ariana Grande - No Tears Left to Cry","0.12770"
"276","Lenny Kravitz - Low","0.12747"
"277","Vianney - Pas là","0.12723"
"278","M. Pokora - Les planètes","0.12720"
"279","Martin Solveig & GTA - Intoxicated","0.12718"
"280","Julien Doré - Chou Wasabi (feat. Micky Green) [Radio Ed...","0.12529"
"281","KeBlack - Bazardée","0.12489"
"282","Kendji Girac - Tiago","0.12467"
"283","Sia - Big Girls Cry","0.12459"
"284","Jasmine Thompson - Mad World","0.12428"
"285","Charlie Puth - We Don’t Talk Anymore (feat. Selena Gomez)","0.12356"
"286","Sam Smith - Too Good at Goodbyes","0.12305"
"287","Madame Monsieur - Mercy","0.12160"
"288","Black M - Mme Pavoshko","0.12072"
"289","Sam Smith - I'm Not the Only One","0.11986"
"290","Kendji Girac - Me Quemo","0.11938"
"291","Lartiste - Catchu Catchu","0.11913"
"292","Capital Cities - Safe and Sound","0.11840"
"293","Pedro Capó & Farruko - Calma (Remix)","0.11833"
"294","Julien Doré - Sublime & silence","0.11822"
"295","Indila - Tourner dans le vide","0.11797"
"296","Booba - DKR","0.11732"
"297","Calogero - Le portrait","0.11725"
"298","Maître Gims - Brisé (Pilule Bleue)","0.11720"
"299","Alok & Bruno Martini - Hear Me Now (feat. Zeeba)","0.11586"
"300","Desiigner - Panda","0.11577"
"301","Kendji Girac - Conmigo","0.11513"
"302","Aya Nakamura - Copines","0.11492"
"303","Ellie Goulding - Burn","0.11491"
"304","Orelsan - Basique","0.11396"
"305","Cecilia Krull - My Life Is Going On (Música Original de la Serie de TV ""La Casa de Papel"")","0.11383"
"306","Soprano - Le Diable ne s'habille plus en Prada","0.11381"
"307","Robin Schulz - OK (feat. James Blunt)","0.11323"
"308","Imagine Dragons - Next To Me","0.11267"
"309","Coldplay - Magic","0.11260"
"310","Rudimental - These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","0.11254"
"311","Kyo - Le Graal","0.11240"
"312","Maître Gims - Tu vas me manquer (Pilule Bleue)","0.11114"
"313","Slimane - Viens on s’aime","0.11040"
"314","Sam Smith & Normani - Dancing with a Stranger","0.11036"
"315","Bigflo & Oli & Petit Biscuit - Demain (Bigflo & Oli X Petit Biscuit)","0.11033"
"316","Soprano - Clown","0.11024"
"317","Maroon 5 - Sugar","0.11008"
"318","Jul - Tchikita","0.11005"
"319","Damso - Θ. Macarena","0.10982"
"320","Christine and the Queens - Damn, dis-moi (feat. Dâm-Funk)","0.10980"
"321","Nico & Vinz - Am I Wrong","0.10949"
"322","Sia - The Greatest (feat. Kendrick Lamar)","0.10918"
"323","Imagine Dragons - Thunder","0.10853"
"324","Richard Orlinski & Eva Simons - HeartBeat (Radio Edit)","0.10850"
"325","R. City - Locked Away (feat. Adam Levine)","0.10832"
"326","Charlie Puth - How Long","0.10820"
"327","Marwa Loud - Fallait pas","0.10786"
"328","J Balvin & Willy William - Mi Gente","0.10776"
"329","Indila - S.O.S","0.10696"
"330","Passenger - Let Her Go","0.10685"
"331","Madilyn Bailey - Titanium","0.10652"
"332","G-Eazy x Bebe Rexha - Me, Myself & I","0.10647"
"333","Major Lazer - Light It Up (feat. Nyla & Fuse ODG) [Remix]","0.10616"
"334","Lady Gaga - Do What U Want (feat. R. Kelly)","0.10582"
"335","Rihanna - Love on the Brain","0.10577"
"336","Feder - Breathe","0.10556"
"337","Maître Gims & Vianney - La même","0.10535"
"338","David Guetta & Showtek - Bad (feat. Vassy) [Radio Edit]","0.10526"
"339","Jonas Blue - Fast Car (feat. Dakota) [Radio Edit]","0.10512"
"340","Ariana Grande - Problem (feat. Iggy Azalea)","0.10495"
"341","DJ Snake - Middle (feat. Bipolar Sunshine)","0.10456"
"342","Black M - Je ne dirai rien (feat. The Shin Sekaï & Doom...","0.10401"
"343","Matt Simons - Catch & Release (Deepend Remix)","0.10372"
"344","Therapie TAXI - Hit Sale (feat. Roméo Elvis)","0.10355"
"345","MC Solaar - Sonotone","0.10339"
"346","Sia - Elastic Heart","0.10332"
"347","Imagine Dragons - Bad Liar","0.10301"
"348","Clean Bandit - Symphony (feat. Zara Larsson)","0.10257"
"349","Rae Sremmurd - Black Beatles (feat. Gucci Mane)","0.10230"
