"Video","Views","Yesterday"
"Bum Bum Bole (Full Song) Film - Taare Zameen Par |  Shaan, Aamir Khan","1,489,316,694","579,020"
"Lil Nas X - Old Town Road (Official Video) ft. Billy Ray Cyrus","1,488,844,261","432,587"
"Daddy Yankee - Limbo (Video Oficial)","1,488,238,627","192,190"
"Ariana Grande - Problem ft. Iggy Azalea","1,482,733,657","120,425"
"Sean Paul - No Lie ft. Dua Lipa","1,462,724,510","277,877"
"KAROL G - BICHOTA (Official Video)","1,461,496,522","173,639"
"Tujh Mein Rab Dikhta Hai Song | Rab Ne Bana Di Jodi | Shah Rukh Khan, Anushka Sharma | Roop Kumar","1,458,226,742","553,904"
"Clean Bandit - Symphony (feat. Zara Larsson) [Official Video]","1,450,607,903","197,681"
"Pitbull - Rain Over Me ft. Marc Anthony","1,450,278,692","251,728"
"Radiohead - Creep","1,446,162,345","690,905"
"OMI - Cheerleader (Felix Jaehn Remix) (Official Video) [Ultra Records]","1,445,368,250","163,115"
"Bon Jovi - Livin' On A Prayer","1,441,737,021","473,734"
"Amy Winehouse - Back To Black","1,441,128,079","544,193"
"Justin Timberlake - Mirrors (Official Video)","1,440,509,932","383,055"
"Shawn Mendes - There's Nothing Holdin' Me Back (Official Music Video)","1,433,645,393","378,118"
"R.E.M. - Losing My Religion (Official HD Music Video)","1,432,930,946","299,564"
"Diles - Bad Bunny, Ozuna, Farruko, Arcangel, Ñengo Flow","1,429,492,777","547,866"
"The Weeknd - I Feel It Coming ft. Daft Punk (Official Video)","1,424,758,608","395,876"
"Katy Perry - Bon Appétit (Official) ft. Migos","1,415,630,679","254,545"
"Europe - The Final Countdown (Official Video)","1,413,674,697","298,427"
"Shakira - Can't Remember to Forget You (Official Video) ft. Rihanna","1,413,653,054","151,551"
"Indila - Dernière Danse (Clip Officiel)","1,412,704,457","408,272"
"Cham Cham Full Video | BAAGHI | Tiger Shroff, Shraddha Kapoor| Meet Bros, Monali Thakur| Sabbir Khan","1,406,740,265","249,403"
"Sia - Elastic Heart feat. Shia LaBeouf & Maddie Ziegler (Official Video)","1,403,062,436","98,028"
"Naughty Boy - La la la ft. Sam Smith (Official Video)","1,402,429,966","156,395"
"Bom Diggy Diggy  (VIDEO) | Zack Knight | Jasmin Walia | Sonu Ke Titu Ki Sweety","1,399,396,492","449,148"
"Osito Gominola - Full Spanish Version - The Gummy Bear Song","1,395,756,691","121,804"
"Joey Montana - Picky","1,395,491,288","110,175"
"Mile Ho Tum - Reprise Version | Neha Kakkar | Tony Kakkar | Fever | Gaurav Jang","1,395,112,232","88,433"
"XXXTENTACION - MOONLIGHT (OFFICIAL MUSIC VIDEO)","1,393,121,446","665,762"
"“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation","1,386,579,744","2,805,160"
"BTS (방탄소년단) 'IDOL' Official MV","1,385,826,613","181,838"
"Los Ángeles Azules - Mis Sentimientos ft. Ximena Sariñana","1,383,184,033","225,096"
"Travis Scott - SICKO MODE (Official Video) ft. Drake","1,383,113,840","203,106"
"BTS (방탄소년단) 'FAKE LOVE' Official MV","1,381,793,747","194,136"
"Marshmello ft. Bastille - Happier (Official Music Video)","1,381,730,349","236,304"
"Justin Bieber - Never Say Never ft. Jaden","1,380,751,709","928,824"
"Ricky Martin - La Mordidita (Official Video) ft. Yotuel","1,372,573,898","74,959"
"Migos - Bad and Boujee ft Lil Uzi Vert [Official Video]","1,370,828,975","143,835"
"Paulo Londra - Tal Vez (Official Video)","1,369,859,569","268,816"
"Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE]","1,369,502,183","437,805"
"BLACKPINK - 'How You Like That' M/V","1,368,812,630","106,937"
"J Balvin - Safari ft. Pharrell Williams, BIA, Sky (Official Video)","1,365,035,727","315,779"
"Shakira - La La La (Brazil 2014) ft. Carlinhos Brown","1,363,927,202","75,920"
"Calum Scott - You Are The Reason (Official Video)","1,361,212,081","418,647"
"Rema, Selena Gomez - Calm Down (Official Music Video)","1,361,004,179","830,551"
"Arcángel, Sech - Sigues Con Él (Video Oficial)","1,360,229,905","484,830"
"KAROL G - Provenza (Official Video)","1,357,366,604","497,278"
"Yng Lvcas & Peso Pluma - La Bebe (Remix) [Video Oficial]","1,351,385,966","558,506"
"Maluma - El Perdedor (Official Video)","1,350,385,979","58,397"
"Katy Perry - Hot N Cold (Official Music Video)","1,348,693,933","151,461"
"Coldplay - The Scientist (Official 4K Video)","1,345,982,071","252,713"
"Billie Eilish - bad guy","1,344,830,534","136,174"
"Chino & Nacho - Me Voy Enamorando (Remix) ft. Farruko","1,344,221,902","170,500"
"Maluma - Borro Cassette (Official Video)","1,343,793,643","220,171"
"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","1,341,666,551","455,322"
"Avicii - Waiting For Love","1,335,902,668","262,284"
"Skrillex and Diplo - ""Where Are Ü Now"" with Justin Bieber (Official Video)","1,335,030,047","171,065"
"Akon - Lonely (Official Music Video)","1,333,988,354","461,082"
"La Oreja de Van Gogh - Rosas (Vídeo Oficial)","1,332,631,257","895,200"
"Bonnie Tyler - Total Eclipse of the Heart (Turn Around) (Official Video)","1,329,682,659","357,337"
"DJ Khaled - Wild Thoughts (Official Video) ft. Rihanna, Bryson Tiller","1,328,088,250","212,054"
"Fun.: We Are Young ft. Janelle Monáe [OFFICIAL VIDEO]","1,327,104,330","266,125"
"Romeo Santos - Eres Mía (Official Video)","1,325,975,028","149,036"
"Post Malone - rockstar (Official Music Video) ft. 21 Savage","1,322,612,496","224,588"
"XXXTENTACION - SAD!","1,317,018,677","134,929"
"The Black Eyed Peas - Where Is The Love? (Official Music Video)","1,316,943,884","429,241"
"BAD BUNNY - CALLAÍTA (Video Oficial)","1,316,744,294","377,232"
"Tainy, Anuel AA, Ozuna - Adicto (Official Video)","1,315,343,779","353,176"
"Coldplay - Yellow (Official Video)","1,313,633,078","509,211"
"J Balvin - 6 AM ft. Farruko","1,311,632,757","134,841"
"Guru Randhawa: High Rated Gabru Official Song | DirectorGifty | Bhushan Kumar | T-Series","1,306,551,233","157,750"
"Ariana Grande - no tears left to cry (Official Video)","1,304,233,303","152,312"
"Marc Anthony - Vivir Mi Vida (Official Video)","1,303,433,325","98,035"
"Michael Jackson - They Don't Care About Us","1,303,112,078","1,421,184"
"KAROL G - Si Antes Te Hubiera Conocido | Coke Studio","1,301,679,873","1,347,271"
"KAROL G, Anuel AA - Culpables (Official Video)","1,297,341,845","199,407"
"Michael Jackson - Beat It (Official 4K Video)","1,294,212,865","1,965,222"
"MC Kevinho - Olha a Explosão (KondZilla) | Official Music Video","1,293,249,617","103,503"
"Alan Walker - The Spectre","1,289,016,517","238,204"
"Marshmello & Anne-Marie - FRIENDS (Lyric Video) *OFFICIAL FRIENDZONE ANTHEM*","1,288,970,748","152,706"
"ZAYN - PILLOWTALK (Official Video)","1,286,147,275","108,697"
